Year,Month,Day,Close,AdjustedClose
1983,3,18,2115.10,2109.73
1983,3,21,2112.00,2106.64
1983,3,22,2110.50,2105.14
1983,3,23,2114.30,2108.93
1983,3,24,2122.30,2116.91
1983,3,25,2122.60,2117.21
1983,3,28,2117.50,2112.12
1983,3,29,2122.40,2117.01
1983,3,30,2142.00,2136.56
1983,3,31,2156.10,2150.62
1983,4,1,0.00,0.00
1983,4,4,2156.10,2150.62
1983,4,5,2154.70,2149.23
1983,4,6,2151.10,2145.64
1983,4,7,2155.00,2149.53
1983,4,8,2159.40,2153.92
1983,4,11,2176.80,2171.27
1983,4,12,2187.50,2181.94
1983,4,13,2207.50,2201.89
1983,4,14,2245.60,2239.90
1983,4,15,2264.10,2258.35
1983,4,18,2286.10,2280.29
1983,4,19,2278.60,2272.81
1983,4,20,2322.30,2316.40
1983,4,21,2312.60,2306.73
1983,4,22,2328.80,2322.89
1983,4,25,2315.40,2309.52
1983,4,26,2321.30,2315.41
1983,4,27,2325.30,2319.39
1983,4,28,2333.50,2327.57
1983,4,29,2340.80,2334.86
1983,5,2,2326.00,2320.09
1983,5,3,2318.80,2312.91
1983,5,4,2347.20,2341.24
1983,5,5,2394.20,2388.12
1983,5,6,2436.20,2430.01
1983,5,9,2429.40,2423.23
1983,5,10,2457.70,2451.46
1983,5,11,2451.70,2445.47
1983,5,12,2432.20,2426.02
1983,5,13,2443.90,2437.69
1983,5,16,2409.90,2403.78
1983,5,17,2424.80,2418.64
1983,5,18,2430.60,2424.43
1983,5,19,2402.60,2396.50
1983,5,20,2389.30,2383.23
1983,5,23,0.00,0.00
1983,5,24,2417.30,2411.16
1983,5,25,2434.00,2427.82
1983,5,26,2445.20,2438.99
1983,5,27,2446.10,2439.89
1983,5,30,0.00,0.00
1983,5,31,2420.70,2414.55
1983,6,1,2409.30,2403.18
1983,6,2,2418.70,2412.56
1983,6,3,2428.40,2422.23
1983,6,6,2424.40,2418.24
1983,6,7,2406.40,2400.29
1983,6,8,2378.10,2372.06
1983,6,9,2371.70,2365.68
1983,6,10,2377.30,2371.26
1983,6,13,2395.20,2389.12
1983,6,14,2390.50,2384.43
1983,6,15,2399.20,2393.11
1983,6,16,2416.40,2410.26
1983,6,17,2416.90,2410.76
